total_mass_guess_kg,stall_speed_mps,cruise_speed_mps,aspect_ratio,taper_ratio,cl_max,cl_cr_target,cd0,oswald,rho,n_rotors,rotor_diameter_m,hover_fom,vert_climb_mps,transition_power_multiplier,hover_time_takeoff_s,hover_time_landing_s,prop_efficiency,elec_efficiency,batt_specific_energy_wh_kg,batt_usable_fraction,batt_reserve_fraction,batt_voltage_V,outbound_distance_miles,return_distance_miles,attack_time_s,retries,structural_mass_fraction,payload_mass_kg,OUT_converged,OUT_total_mass_kg,OUT_weight_N,OUT_wing_area_m2,OUT_span_m,OUT_root_chord_m,OUT_tip_chord_m,OUT_mac_m,OUT_q_cruise_Pa,OUT_cl_cruise,OUT_cd_induced,OUT_cd_total,OUT_drag_N,OUT_power_cruise_W,OUT_rotor_total_area_m2,OUT_power_hover_W,OUT_power_climb_W,OUT_power_transition_W,OUT_e_takeoff_hover,OUT_e_takeoff_climb,OUT_e_transition_out,OUT_e_outbound,OUT_e_attack,OUT_e_return,OUT_e_transition_in,OUT_e_landing_hover,OUT_e_retries,OUT_total_mission_energy_Wh,OUT_required_nominal_batt_Wh,OUT_battery_mass_kg,OUT_battery_Ah,OUT_peak_power_W,OUT_peak_current_A,OUT_peak_c_rate,OUT_mtow_calc_kg,OUT_error
30.0,22.0,40,6,0.5,1.6,0.5,0.045,0.7,1.225,4,0.4,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,1.9294567035450985,0.42876815634335524,0.21438407817167762,0.3334863438226096,980.0000000000001,0.48400000000000004,0.017753809689969067,0.06275380968996906,38.157946677185734,2261.21165494434,0.5026548245743669,7776.990298864379,8757.990298864379,6610.441754034722,32.404126245268245,12.163875415089416,27.54350730847801,176.89867050956158,18.8434304578695,176.89867050956158,27.54350730847801,32.404126245268245,0.0,504.69991399957456,754.1492967809735,3.427951349004425,16.985344522094,8757.990298864379,197.25203375820675,11.613072287207807,20.727951349004424,-0.3090682883665192
30.0,22.0,40,6,0.5,1.6,0.5,0.045,0.7,1.225,4,0.5,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,1.9294567035450985,0.42876815634335524,0.21438407817167762,0.3334863438226096,980.0000000000001,0.48400000000000004,0.017753809689969067,0.06275380968996906,38.157946677185734,2261.21165494434,0.7853981633974483,6221.592239091503,7202.592239091503,5288.353403227778,25.923300996214593,10.003600332071532,22.034805846782405,176.89867050956158,18.8434304578695,176.89867050956158,22.034805846782405,25.923300996214593,0.0,478.56058549505826,715.0905300500871,3.2504115002276683,16.105642568695654,7202.592239091503,162.22054592548432,10.07228027280268,20.550411500227668,-0.3149862833257444
30.0,22.0,40,6,0.5,1.6,0.5,0.045,0.7,1.225,4,0.6,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,1.9294567035450985,0.42876815634335524,0.21438407817167762,0.3334863438226096,980.0000000000001,0.48400000000000004,0.017753809689969067,0.06275380968996906,38.157946677185734,2261.21165494434,1.1309733552923256,5184.660199242919,6165.660199242919,4406.961169356481,21.602750830178827,8.563416943392943,18.362338205652005,176.89867050956158,18.8434304578695,176.89867050956158,18.362338205652005,21.602750830178827,0.0,461.13436649204726,689.0513522294959,3.1320516010431634,15.519174599763423,6165.660199242919,138.86622070366934,8.948041650732266,20.432051601043163,-0.31893161329856123
30.0,22.0,40,6,0.5,1.6,0.5,0.045,0.7,1.225,4,0.7,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,1.9294567035450985,0.42876815634335524,0.21438407817167762,0.3334863438226096,980.0000000000001,0.48400000000000004,0.017753809689969067,0.06275380968996906,38.157946677185734,2261.21165494434,1.5393804002589984,4443.9944564939315,5424.9944564939315,3777.3952880198417,18.516643568724714,7.534714522908239,15.739147033416007,176.89867050956158,18.8434304578695,176.89867050956158,15.739147033416007,18.516643568724714,0.0,448.68706720418237,670.4519395005025,3.047508815911375,15.100268907668974,5424.9944564939315,122.18455983094441,8.09154860605764,20.347508815911375,-0.3217497061362875
30.0,22.0,40,8,0.5,1.6,0.5,0.045,0.7,1.225,4,0.4,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.2279446943629813,0.3713241157271635,0.18566205786358175,0.2888076455655716,980.0000000000001,0.48400000000000004,0.013315357267476801,0.0583153572674768,35.45911083433558,2101.280642034701,0.5026548245743669,7776.990298864379,8757.990298864379,6610.441754034722,32.404126245268245,12.163875415089416,27.54350730847801,164.38697860531167,17.51067201695584,164.38697860531167,27.54350730847801,32.404126245268245,0.0,478.3437717501611,714.7665554887465,3.248938888585211,16.098345844341136,8757.990298864379,197.25203375820675,12.252938013972688,20.548938888585212,-0.31503537038049295
30.0,22.0,40,8,0.5,1.6,0.5,0.045,0.7,1.225,4,0.5,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.2279446943629813,0.3713241157271635,0.18566205786358175,0.2888076455655716,980.0000000000001,0.48400000000000004,0.013315357267476801,0.0583153572674768,35.45911083433558,2101.280642034701,0.7853981633974483,6221.592239091503,7202.592239091503,5288.353403227778,25.923300996214593,10.003600332071532,22.034805846782405,164.38697860531167,17.51067201695584,164.38697860531167,22.034805846782405,25.923300996214593,0.0,452.2044432456447,675.7077887578599,3.0713990398084543,15.218643890942792,7202.592239091503,162.22054592548432,10.659329904028315,20.371399039808455,-0.32095336533971813
30.0,22.0,40,8,0.5,1.6,0.5,0.045,0.7,1.225,4,0.6,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.2279446943629813,0.3713241157271635,0.18566205786358175,0.2888076455655716,980.0000000000001,0.48400000000000004,0.013315357267476801,0.0583153572674768,35.45911083433558,2101.280642034701,1.1309733552923256,5184.660199242919,6165.660199242919,4406.961169356481,21.602750830178827,8.563416943392943,18.362338205652005,164.38697860531167,17.51067201695584,164.38697860531167,18.362338205652005,21.602750830178827,0.0,434.77822424263377,649.6686109372689,2.95303914062395,14.632175922010562,6165.660199242919,138.86622070366934,9.490469595487761,20.25303914062395,-0.32489869531253496
30.0,22.0,40,8,0.5,1.6,0.5,0.045,0.7,1.225,4,0.7,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.2279446943629813,0.3713241157271635,0.18566205786358175,0.2888076455655716,980.0000000000001,0.48400000000000004,0.013315357267476801,0.0583153572674768,35.45911083433558,2101.280642034701,1.5393804002589984,4443.9944564939315,5424.9944564939315,3777.3952880198417,18.516643568724714,7.534714522908239,15.739147033416007,164.38697860531167,17.51067201695584,164.38697860531167,15.739147033416007,18.516643568724714,0.0,422.3309249547689,631.0691982082753,2.8684963554921605,14.213270229916112,5424.9944564939315,122.18455983094441,8.596512826004684,20.16849635549216,-0.32771678815026134
30.0,22.0,40,10,0.5,1.6,0.5,0.045,0.7,1.225,4,0.4,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.490917893352809,0.33212238578037456,0.16606119289018728,0.25831741116251355,980.0000000000001,0.48400000000000004,0.01065228581398144,0.05565228581398144,33.83980932862549,2005.322034288918,0.5026548245743669,7776.990298864379,8757.990298864379,6610.441754034722,32.404126245268245,12.163875415089416,27.54350730847801,156.87996346276176,16.71101695240765,156.87996346276176,27.54350730847801,32.404126245268245,0.0,462.5300864005131,691.1369107134104,3.1415314123336837,15.566146637689425,8757.990298864379,197.25203375820675,12.671860181543686,20.441531412333685,-0.3186156195888772
30.0,22.0,40,10,0.5,1.6,0.5,0.045,0.7,1.225,4,0.5,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.490917893352809,0.33212238578037456,0.16606119289018728,0.25831741116251355,980.0000000000001,0.48400000000000004,0.01065228581398144,0.05565228581398144,33.83980932862549,2005.322034288918,0.7853981633974483,6221.592239091503,7202.592239091503,5288.353403227778,25.923300996214593,10.003600332071532,22.034805846782405,156.87996346276176,16.71101695240765,156.87996346276176,22.034805846782405,25.923300996214593,0.0,436.3907578959968,652.078143982524,2.9639915635569274,14.686444684291082,7202.592239091503,162.22054592548432,11.045596767133075,20.263991563556928,-0.3245336145481024
